trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.2}",25,0,-62.92097514958725,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 2}",0
2,False,"{'a': 0.75, 'e': 0.196}",20,14,8.00764250268803,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.75, 'e': 0.196}",30,0,-64.01713813401793,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.75, 'e': 0.192}",25,8,-2.2368139525869677,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.75, 'e': 0.188}",20,0,9.664568698136314,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.185}",25,13,10.585712656407512,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
7,False,"{'a': 0.75, 'e': 0.182}",25,0,-22.079783940668765,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.172}",35,22,-10.281400021458905,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.75, 'e': 0.16999999999999998}",25,3,27.674839013738257,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.75, 'e': 0.16699999999999998}",25,0,-57.93557950959705,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
11,False,"{'a': 0.75, 'e': 0.16099999999999998}",25,0,-43.31550398094265,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.75, 'e': 0.15599999999999997}",20,0,30.2347688189178,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.15499999999999997}",25,0,11.156127771571306,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.75, 'e': 0.15399999999999997}",35,17,31.502565944716764,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.75, 'e': 0.15199999999999997}",25,0,37.45766020633724,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.15099999999999997}",20,4,8.886115884269383,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
17,False,"{'a': 0.75, 'e': 0.14799999999999996}",20,0,9.377176925711636,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.75, 'e': 0.14299999999999996}",20,6,20.063090535165646,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.75, 'e': 0.14199999999999996}",20,0,14.604011689414918,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.13899999999999996}",20,7,21.28675915152921,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.75, 'e': 0.13799999999999996}",30,0,26.672881573942135,"{0: 28, 1: 1, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.75, 'e': 0.13599999999999995}",30,18,1.584020893768593,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
23,False,"{'a': 0.75, 'e': 0.13399999999999995}",30,0,17.496659997006045,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
24,False,"{'a': 0.75, 'e': 0.13099999999999995}",25,18,10.746179272258747,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.75, 'e': 0.12999999999999995}",25,0,37.511172306983525,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.12799999999999995}",25,7,11.846813009306386,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.75, 'e': 0.12599999999999995}",35,18,29.796250386395414,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.75, 'e': 0.12499999999999994}",20,4,-12.435119838643878,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
29,False,"{'a': 0.75, 'e': 0.12299999999999994}",25,19,10.691911837565637,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.75, 'e': 0.12299999999999994}",25,20,6.675484039258475,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,False,"{'a': 0.75, 'e': 0.12299999999999994}",30,0,45.955346187666855,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.75, 'e': 0.12199999999999994}",25,0,21.55244579469284,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.75, 'e': 0.11899999999999994}",35,0,39.247310099736175,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
34,False,"{'a': 0.75, 'e': 0.11499999999999994}",20,0,19.066060898326434,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
35,False,"{'a': 0.75, 'e': 0.11299999999999993}",20,10,18.352806620836947,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,False,"{'a': 0.75, 'e': 0.11199999999999993}",25,16,14.392400907553494,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.75, 'e': 0.11099999999999993}",20,8,-27.182636252939265,"{0: 10, 1: 0, 2: 0, 3: 2, 4: 0}",1
38,False,"{'a': 0.75, 'e': 0.10699999999999993}",20,8,-10.982797566931728,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
39,False,"{'a': 0.75, 'e': 0.10599999999999993}",25,13,22.203414264422612,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.75, 'e': 0.10499999999999993}",20,0,26.64782331917329,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.75, 'e': 0.10199999999999992}",30,17,20.347022812534686,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.75, 'e': 0.10099999999999992}",20,6,27.493464712879604,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,False,"{'a': 0.75, 'e': 0.10099999999999992}",25,8,26.526518162415616,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.75, 'e': 0.09899999999999992}",20,8,22.66982500197143,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
45,False,"{'a': 0.75, 'e': 0.09799999999999992}",25,4,24.15523246431733,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
46,False,"{'a': 0.75, 'e': 0.09599999999999992}",20,8,19.696924556165676,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.75, 'e': 0.09599999999999992}",25,19,11.309126533230659,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.75, 'e': 0.09599999999999992}",25,19,12.290323172658653,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.75, 'e': 0.09599999999999992}",20,13,14.03144986052202,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.75, 'e': 0.09499999999999992}",25,5,10.277907335529125,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
51,False,"{'a': 0.75, 'e': 0.09299999999999992}",25,9,26.546357577674286,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.75, 'e': 0.09299999999999992}",30,8,36.28102149605046,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
