trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.1}",30,0,-140.77783195998794,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.06000000000000002}",30,0,-9.858919733868115,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.05000000000000002}",20,12,-11.60600296186439,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
4,False,"{'a': 0.5, 'e': 0.030000000000000013}",30,0,-11.960578321796188,"{0: 26, 1: 1, 2: 2, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,27.338422431414397,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,0,41.49488735696785,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,21.776978517432237,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,31.893875531973244,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,29.11615675518111,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,7,26.822463778865174,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,6.569064811472235,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,11,27.547908115526795,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,0,35.54759428752708,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,1,33.02153545784304,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,9,21.724807714147786,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,27.692952309989707,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,26.025013726136446,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,32.97251050399215,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,32.118294687005445,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,13,21.177667812501554,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,6,23.755543394866947,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,32.23150342382972,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,0,37.92088368613132,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,7,22.979474495280254,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,3,31.375379115904398,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,-0.8981716174981937,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,7,0.25012553974331775,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,0,34.42980222081414,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,3,28.17854356637883,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,27.94738228552839,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,7,26.725214327472962,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,26.106528572793188,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,16,5.168151780669568,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,0,35.0904279065053,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,27.984418821490152,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",30,0,50.07650086988829,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",30,17,24.083346540511492,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,14,10.156857120329907,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",20,0,29.175585291956384,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.5, 'e': 1.0408340855860843e-17}",25,0,33.95767559532561,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
