trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.1}",20,0,-61.59788607673993,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.092}",25,17,-30.21899474028522,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
3,False,"{'a': 0.75, 'e': 0.09}",20,0,-46.64869208587939,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
4,False,"{'a': 0.75, 'e': 0.088}",25,0,32.69610464958534,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,False,"{'a': 0.75, 'e': 0.086}",20,0,0.5001016181433314,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.08199999999999999}",25,0,-85.10190735887097,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
7,False,"{'a': 0.75, 'e': 0.07399999999999998}",25,0,27.20713249319978,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.07199999999999998}",20,0,24.298674386851967,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.06399999999999997}",25,0,31.020185673711616,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.06399999999999997}",30,0,-54.80326375762642,"{0: 26, 1: 0, 2: 1, 3: 2, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.05999999999999997}",30,0,35.66458011410688,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.75, 'e': 0.05999999999999997}",20,0,2.758250651956023,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.05799999999999997}",25,0,11.819623465174386,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.75, 'e': 0.053999999999999965}",25,0,24.49672526828764,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.053999999999999965}",30,0,26.0322458182023,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.04599999999999996}",25,0,38.87727448669416,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.75, 'e': 0.04599999999999996}",20,0,25.4558271670026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.75, 'e': 0.041999999999999954}",25,0,34.44715119667967,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.75, 'e': 0.041999999999999954}",20,0,29.0827928560789,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.03999999999999995}",30,5,36.795509119007576,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.75, 'e': 0.03799999999999995}",25,0,22.504550164092965,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.75, 'e': 0.03599999999999995}",20,0,28.175930725044964,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.75, 'e': 0.03599999999999995}",20,0,32.645091106884394,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.75, 'e': 0.03599999999999995}",30,2,33.766303272955554,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
25,False,"{'a': 0.75, 'e': 0.03399999999999995}",20,0,30.60429073368493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.03399999999999995}",25,0,33.14596048291124,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.75, 'e': 0.031999999999999945}",30,0,42.67349272381743,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.75, 'e': 0.031999999999999945}",20,4,27.450485712048806,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.75, 'e': 0.029999999999999943}",25,0,37.02279850465447,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.75, 'e': 0.029999999999999943}",20,0,17.125389474667607,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
31,False,"{'a': 0.75, 'e': 0.02799999999999994}",20,7,22.295599465293172,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.75, 'e': 0.02799999999999994}",30,0,35.8072762489115,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
33,False,"{'a': 0.75, 'e': 0.023999999999999938}",25,0,35.32839417867339,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.75, 'e': 0.021999999999999936}",30,0,42.806515772144735,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.75, 'e': 0.021999999999999936}",20,0,25.638284115858596,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.75, 'e': 0.021999999999999936}",25,0,36.3998847514015,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.75, 'e': 0.019999999999999934}",20,0,-13.359660279361865,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
38,False,"{'a': 0.75, 'e': 0.013999999999999931}",25,0,36.13455917448911,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.75, 'e': 0.013999999999999931}",20,0,26.934936741004556,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.75, 'e': 0.013999999999999931}",25,0,36.0392985329676,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.75, 'e': 0.013999999999999931}",20,0,13.380722686011726,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0.75, 'e': 0.00999999999999993}",30,0,47.50702888426574,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.75, 'e': 0.00799999999999993}",30,0,44.29350233742848,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.75, 'e': 0.00799999999999993}",20,0,30.380000471347763,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.75, 'e': 0.00799999999999993}",30,0,39.52488849776602,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.75, 'e': 0.00799999999999993}",35,0,47.23207269762945,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.75, 'e': 0.00799999999999993}",25,0,35.27055780448256,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.75, 'e': 0.00799999999999993}",20,0,24.548630761614167,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.75, 'e': 0.00799999999999993}",30,0,50.23255213176845,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,True,"{'a': 0.75, 'e': 0.005999999999999931}",25,0,35.4114676535251,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.75, 'e': 0.005999999999999931}",20,5,23.950073058304604,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.75, 'e': 0.005999999999999931}",25,0,35.835222618482305,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,True,"{'a': 0.75, 'e': 0.005999999999999931}",30,18,20.187562772820577,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.75, 'e': 0.005999999999999931}",30,0,48.29141067059744,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,True,"{'a': 0.75, 'e': 0.005999999999999931}",20,0,22.84757549658382,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.75, 'e': 0.005999999999999931}",20,0,28.09918628524216,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,True,"{'a': 0.75, 'e': 0.005999999999999931}",20,0,28.61479629701021,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,True,"{'a': 0.75, 'e': 0.005999999999999931}",30,0,47.33752299188296,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,True,"{'a': 0.75, 'e': 0.005999999999999931}",25,0,38.543833068840044,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,True,"{'a': 0.75, 'e': 0.005999999999999931}",20,0,30.440187614686728,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.75, 'e': 0.005999999999999931}",30,9,36.99400353852635,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
