trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.2}",20,0,-37.64281295164649,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
2,False,"{'a': 0.75, 'e': 0.196}",20,6,-14.608791643063865,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
3,False,"{'a': 0.75, 'e': 0.193}",30,0,8.254450088596077,"{0: 28, 1: 0, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.19}",20,0,-5.429361610347044,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
5,False,"{'a': 0.75, 'e': 0.189}",20,0,-24.276645259144882,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.187}",20,0,27.54709255126118,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.75, 'e': 0.181}",20,0,17.171144619962305,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.75, 'e': 0.18}",20,0,-62.995564220586,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.75, 'e': 0.16999999999999998}",20,0,18.278018182931042,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.16799999999999998}",30,4,-84.78632016277037,"{0: 20, 1: 3, 2: 0, 3: 1, 4: 2}",1
11,False,"{'a': 0.75, 'e': 0.16299999999999998}",25,0,-6.876952794252504,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.75, 'e': 0.15799999999999997}",20,3,3.012725988693919,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
13,False,"{'a': 0.75, 'e': 0.15399999999999997}",30,0,-47.29164259918187,"{0: 25, 1: 2, 2: 1, 3: 1, 4: 1}",0
14,False,"{'a': 0.75, 'e': 0.14699999999999996}",20,0,23.46989355690231,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.14599999999999996}",30,6,18.20382340898733,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
