trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.09000000000000001}",25,-100,-89.0483500068682,"{0: 109, 1: 3, 2: 7, 3: 4, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.08000000000000002}",20,-100,62.48459821784494,"{0: 114, 1: 0, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.07000000000000002}",25,-100,163.4973545209528,"{0: 123, 1: 1, 2: 0, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.06000000000000002}",30,-100,153.22344412149192,"{0: 129, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.05000000000000002}",20,-100,124.35035764710753,"{0: 118, 1: 0, 2: 0, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.040000000000000015}",25,-100,199.76628674254624,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.030000000000000013}",30,-100,183.69814668358777,"{0: 129, 1: 0, 2: 0, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.02000000000000001}",20,-100,163.06870267498167,"{0: 119, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.01000000000000001}",30,-100,196.1893627903194,"{0: 130, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0408340855860843e-17}",30,-100,188.61714399042987,"{0: 130, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': -0.00999999999999999}",30,-100,202.39801562203334,"{0: 130, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': -0.01999999999999999}",35,-100,212.30236802965342,"{0: 135, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': -0.029999999999999992}",20,-100,192.1459717853077,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': -0.039999999999999994}",25,-100,214.16621501381772,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': -0.049999999999999996}",20,-100,164.4110137325737,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': -0.06}",20,-100,191.73085441721622,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': -0.06999999999999999}",20,-100,165.72819129786654,"{0: 119, 1: 0, 2: 0, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': -0.07999999999999999}",35,-100,212.29240727672283,"{0: 135, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': -0.08999999999999998}",20,-100,191.14235672685425,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -0.09999999999999998}",30,-100,200.02576995571127,"{0: 130, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': -0.10999999999999997}",25,-100,191.6920260807931,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.5, 'e': -0.11999999999999997}",20,-100,180.49679145714532,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.5, 'e': -0.12999999999999998}",20,-100,179.9761457990016,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': -0.13999999999999999}",20,-100,197.72048997875646,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': -0.15}",25,-100,183.28417489522994,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.16}",20,-100,193.00561490964998,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': -0.17}",25,-100,206.21404097227978,"{0: 125, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': -0.18000000000000002}",30,-100,200.46301317701793,"{0: 129, 1: 0, 2: 0, 3: 1, 4: 0}",0
9,True,"{'a': 0.5, 'e': -0.19000000000000003}",20,-100,181.00881347003573,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': -0.20000000000000004}",20,-100,177.30388031414236,"{0: 120, 1: 0, 2: 0, 3: 0, 4: 0}",0
