trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.25}",20,11,17.971643189870885,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.6, 'e': 0.2}",25,13,12.669001849630703,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.15000000000000002}",20,13,3.6070622899637708,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,False,"{'a': 0.6, 'e': 0.10000000000000002}",25,7,24.52709519636491,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.6, 'e': 0.05000000000000002}",20,9,22.944058098300133,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 1.3877787807814457e-17}",30,12,-56.48653530679358,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 2}",1
7,False,"{'a': 0.6, 'e': -0.04999999999999999}",25,5,-21.964333456068793,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.6, 'e': -0.09999999999999999}",30,7,-1.3813995732379825,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
9,False,"{'a': 0.6, 'e': -0.15}",20,11,16.901486529653006,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.6, 'e': -0.2}",25,16,-30.032937494833945,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 0}",1
11,False,"{'a': 0.6, 'e': -0.25}",20,3,-24.363883240166285,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.6, 'e': -0.3}",25,14,22.83605583494774,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.6, 'e': -0.35}",20,14,9.750334145190882,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.6, 'e': -0.39999999999999997}",30,18,23.638140208348474,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.6, 'e': -0.44999999999999996}",20,14,14.09784385482343,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.6, 'e': -0.49999999999999994}",20,4,-15.663783605541587,"{0: 14, 1: 0, 2: 0, 3: 2, 4: 0}",1
17,False,"{'a': 0.6, 'e': -0.5499999999999999}",30,14,26.261670175575624,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.6, 'e': -0.6}",20,0,13.1866523329631,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.6, 'e': -0.65}",25,8,-15.186635167649552,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.6, 'e': -0.7000000000000001}",20,0,34.67737279525063,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.6, 'e': -0.7500000000000001}",20,13,12.20097767888147,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.6, 'e': -0.8000000000000002}",30,11,34.097049201039205,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.6, 'e': -0.8500000000000002}",25,3,36.123924859949504,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.6, 'e': -0.9000000000000002}",25,0,37.330654527711914,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.6, 'e': -0.9500000000000003}",20,16,6.296350647739662,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.6, 'e': -1.0000000000000002}",30,12,34.46774115810415,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.6, 'e': -1.0500000000000003}",20,0,33.371108793607675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.6, 'e': -1.1000000000000003}",30,18,24.434262079447084,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.6, 'e': -1.1500000000000004}",30,13,31.31889054685246,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.6, 'e': -1.2000000000000004}",20,12,16.69393863943012,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'a': 0.6, 'e': -1.2500000000000004}",25,13,21.497027185125,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.6, 'e': -1.3000000000000005}",30,13,32.359603030273504,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'a': 0.6, 'e': -1.3500000000000005}",30,14,-8.039038172610567,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
14,True,"{'a': 0.6, 'e': -1.4000000000000006}",20,0,33.20170696828763,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,True,"{'a': 0.6, 'e': -1.4500000000000006}",20,14,9.596775373396204,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'a': 0.6, 'e': -1.5000000000000007}",20,16,5.604290190216096,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'a': 0.6, 'e': -1.5500000000000007}",25,6,29.318288837768105,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'a': 0.6, 'e': -1.6000000000000008}",20,12,14.807744304461592,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0.6, 'e': -1.6500000000000008}",20,0,28.340051492264905,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,True,"{'a': 0.6, 'e': -1.7000000000000008}",20,0,26.717499505793405,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,True,"{'a': 0.6, 'e': -1.7500000000000009}",25,10,26.61600644326772,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0.6, 'e': -1.800000000000001}",25,13,24.035749492145634,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0.6, 'e': -1.850000000000001}",20,0,31.495309165224235,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,True,"{'a': 0.6, 'e': -1.900000000000001}",20,10,18.84517899636275,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0.6, 'e': -1.950000000000001}",30,6,21.838503223885347,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 0}",1
