trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.149}",30,0,-38.399498078456425,"{0: 26, 1: 0, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.75, 'e': 0.148}",20,0,-71.3372362402965,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
3,False,"{'a': 0.75, 'e': 0.147}",25,0,-25.16344117714077,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
4,False,"{'a': 0.75, 'e': 0.146}",25,0,-25.239034942323148,"{0: 22, 1: 2, 2: 0, 3: 0, 4: 1}",0
5,False,"{'a': 0.75, 'e': 0.145}",20,0,14.882255013675662,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.75, 'e': 0.144}",20,9,18.092024684855296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.75, 'e': 0.143}",25,15,17.528107107277826,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.75, 'e': 0.142}",20,0,30.976426862764093,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.75, 'e': 0.141}",20,0,-10.363210203711068,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.75, 'e': 0.13999999999999999}",25,0,-21.523181008456493,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.75, 'e': 0.13899999999999998}",30,0,34.26657043079701,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.75, 'e': 0.13799999999999998}",20,0,26.02225597286073,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.13699999999999998}",20,8,23.26655904865327,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.75, 'e': 0.13599999999999998}",30,0,37.77815070596521,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.75, 'e': 0.13499999999999998}",20,0,28.956304569921627,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.75, 'e': 0.13399999999999998}",30,0,36.46343383151273,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.75, 'e': 0.13299999999999998}",20,0,23.299793415040302,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.75, 'e': 0.13199999999999998}",25,0,33.67616483690918,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.75, 'e': 0.13099999999999998}",20,0,25.201316722832434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.75, 'e': 0.12999999999999998}",25,0,27.758335210103304,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.75, 'e': 0.12899999999999998}",20,0,26.187062144046035,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
22,False,"{'a': 0.75, 'e': 0.12799999999999997}",20,0,9.635687292677273,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.75, 'e': 0.12699999999999997}",20,0,20.884132723188007,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.75, 'e': 0.12599999999999997}",25,0,31.253101125043532,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
25,False,"{'a': 0.75, 'e': 0.12499999999999997}",20,0,29.022637835914804,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.75, 'e': 0.12399999999999997}",20,0,20.92321499364368,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.75, 'e': 0.12299999999999997}",25,0,16.501753243565048,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
28,False,"{'a': 0.75, 'e': 0.12199999999999997}",30,0,37.04984414033688,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
29,False,"{'a': 0.75, 'e': 0.12099999999999997}",25,0,29.26999751012899,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.75, 'e': 0.11999999999999997}",25,0,39.260278975174714,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.75, 'e': 0.11899999999999997}",25,17,15.258541490478635,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.75, 'e': 0.11799999999999997}",20,2,31.585656329745042,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.75, 'e': 0.11699999999999997}",25,0,33.413393857363545,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.75, 'e': 0.11599999999999996}",30,0,39.46942705361907,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.75, 'e': 0.11499999999999996}",20,0,27.1010913433834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.75, 'e': 0.11399999999999996}",30,1,41.851345322981025,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 0}",1
