trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 0.2}",25,4,36.538878053266394,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.6, 'e': 0.2}",25,2,38.62154574518396,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.6, 'e': 0.2}",20,0,30.98651723127658,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.6, 'e': 0.2}",20,11,14.072592757536642,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.6, 'e': 0.2}",25,17,14.719990700262162,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.6, 'e': 0.2}",25,0,36.57174058659853,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.6, 'e': 0.2}",20,6,26.497079591789014,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.61, 'e': 0.47748019555354393}",25,15,17.92781613657352,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.62, 'e': 0.22798733714585054}",25,0,38.05369416609427,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.63, 'e': 0.10885943832413247}",25,11,25.874295433985875,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,False,"{'a': 0.63, 'e': 0.10885943832413247}",20,4,27.75469639740001,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.64, 'e': 0.051978225898855729}",25,7,34.19776810885959,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.64, 'e': 0.051978225898855729}",25,13,20.925849888646525,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,2,27.137968730951375,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.64, 'e': 0.051978225898855729}",35,18,36.578166381133904,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.64, 'e': 0.051978225898855729}",25,0,42.896479736752354,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.64, 'e': 0.051978225898855729}",25,11,22.703613259709183,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.64, 'e': 0.051978225898855729}",30,23,11.869575216176514,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.64, 'e': 0.051978225898855729}",25,12,23.26721383526915,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,11,18.381647455890988,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,11,16.973157831753,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,11,15.06258585423799,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,False,"{'a': 0.64, 'e': 0.051978225898855729}",30,0,55.15297826902774,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,6,27.95046877505111,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,False,"{'a': 0.64, 'e': 0.051978225898855729}",35,14,40.294894440151495,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,False,"{'a': 0.64, 'e': 0.051978225898855729}",25,5,30.379814023465187,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,3,27.956443958566354,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,0,27.85860992378337,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,9,20.035724186371873,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.64, 'e': 0.051978225898855729}",30,0,53.7137169153185,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.64, 'e': 0.051978225898855729}",25,11,26.924669239185775,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,9,18.975484386219854,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,0,32.82816037329602,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,2,27.279526901376624,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.64, 'e': 0.051978225898855729}",20,0,35.08159379912428,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.64, 'e': 0.051978225898855729}",25,17,15.075572816702833,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,False,"{'a': 0.64, 'e': 0.051978225898855729}",30,7,38.16375783655106,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.64, 'e': 0.051978225898855729}",30,19,20.748831201091015,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.64, 'e': 0.051978225898855729}",25,8,25.337643564608705,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.64, 'e': 0.051978225898855729}",30,11,34.62825255853253,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,False,"{'a': 0.64, 'e': 0.051978225898855729}",30,0,46.32469183225397,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.64, 'e': 0.051978225898855729}",30,0,43.31874673769616,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
