trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.75, 'e': 0.2}",20,9,1.156564357276517,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
2,False,"{'a': 0.75, 'e': 0.197}",25,9,-49.313785838232086,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
3,False,"{'a': 0.75, 'e': 0.191}",20,0,-63.53743305452501,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.75, 'e': 0.185}",35,11,22.327791588804878,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.75, 'e': 0.182}",25,11,-5.6055552415379735,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 0}",1
6,False,"{'a': 0.75, 'e': 0.179}",30,10,38.34300192288882,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.75, 'e': 0.177}",25,3,-9.235671172729113,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 0}",1
8,False,"{'a': 0.75, 'e': 0.17099999999999999}",20,0,-31.412059967300685,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",1
9,False,"{'a': 0.75, 'e': 0.16899999999999998}",25,11,-13.500792682810667,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.75, 'e': 0.16599999999999998}",25,10,-38.19915745125588,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
11,False,"{'a': 0.75, 'e': 0.16599999999999998}",25,8,-13.54343233302932,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.75, 'e': 0.16199999999999998}",20,0,5.975417772288388,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.75, 'e': 0.15999999999999998}",35,17,-19.343090958225826,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 0}",1
14,False,"{'a': 0.75, 'e': 0.15599999999999997}",20,6,25.20960202775734,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.75, 'e': 0.15399999999999997}",20,8,-40.1022717303131,"{0: 8, 1: 1, 2: 1, 3: 2, 4: 0}",1
16,False,"{'a': 0.75, 'e': 0.15099999999999997}",20,3,21.410473548090895,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
17,False,"{'a': 0.75, 'e': 0.14699999999999996}",25,14,-4.248462263978198,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.75, 'e': 0.14399999999999996}",30,4,-4.144493905398801,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 1}",1
19,False,"{'a': 0.75, 'e': 0.13999999999999996}",25,20,10.408813093770474,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.75, 'e': 0.13999999999999996}",20,5,-20.14725722384016,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 1}",1
1,True,"{'a': 0.75, 'e': 0.13799999999999996}",25,15,17.085842715287093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.75, 'e': 0.13699999999999996}",25,4,32.338062617791074,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.75, 'e': 0.13399999999999995}",30,4,-9.015426653584335,"{0: 24, 1: 0, 2: 0, 3: 2, 4: 0}",1
4,True,"{'a': 0.75, 'e': 0.13299999999999995}",25,10,-36.41953366213087,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 1}",1
5,True,"{'a': 0.75, 'e': 0.12999999999999995}",25,14,22.78410708057852,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.75, 'e': 0.12899999999999995}",30,13,30.485046769194174,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.75, 'e': 0.12799999999999995}",25,11,4.844780147430334,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,True,"{'a': 0.75, 'e': 0.12599999999999995}",20,0,-4.184054973786392,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
9,True,"{'a': 0.75, 'e': 0.12399999999999994}",20,0,24.023430919096,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0.75, 'e': 0.12199999999999994}",20,4,-15.506986816757871,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,True,"{'a': 0.75, 'e': 0.11899999999999994}",30,23,18.18821996177988,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'a': 0.75, 'e': 0.11799999999999994}",20,0,22.948320634696405,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,True,"{'a': 0.75, 'e': 0.11699999999999994}",25,0,12.736862670892625,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
14,True,"{'a': 0.75, 'e': 0.11099999999999993}",20,0,19.204003022724567,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,True,"{'a': 0.75, 'e': 0.10899999999999993}",20,7,13.059751799875391,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
